id_number,long_name,tank_number,treatment,date,time,inflow_table,date_time,date_string,time_string,date_time_string
MOBEAST001,MOBEAST_F1_Inflow_2024-06-02_1200,F1,Inflow,2024-06-02,12:00:00,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02 12:00:00
MOBEAST002,MOBEAST_F2_Inflow_2024-06-02_1200,F2,Inflow,2024-06-02,12:00:00,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02 12:00:00
MOBEAST003,MOBEAST_T1_A_2024-06-02_1200,T1,Algae,2024-06-02,12:00:00,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02 12:00:00
MOBEAST004,MOBEAST_T2_R_2024-06-02_1200,T2,CCA,2024-06-02,12:00:00,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02 12:00:00
MOBEAST005,MOBEAST_T3_C_2024-06-02_1200,T3,Control,2024-06-02,12:00:00,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02 12:00:00
MOBEAST006,MOBEAST_T4_A_2024-06-02_1200,T4,Algae,2024-06-02,12:00:00,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02 12:00:00
MOBEAST007,MOBEAST_T5_R_2024-06-02_1200,T5,CCA,2024-06-02,12:00:00,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02 12:00:00
MOBEAST008,MOBEAST_T6_K_2024-06-02_1200,T6,Coral,2024-06-02,12:00:00,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02 12:00:00
MOBEAST009,MOBEAST_T7_K_2024-06-02_1200,T7,Coral,2024-06-02,12:00:00,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02 12:00:00
MOBEAST010,MOBEAST_T8_C_2024-06-02_1200,T8,Control,2024-06-02,12:00:00,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02 12:00:00
MOBEAST011,MOBEAST_T9_K_2024-06-02_1200,T9,Coral,2024-06-02,12:00:00,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02 12:00:00
MOBEAST012,MOBEAST_T10_R_2024-06-02_1200,T10,CCA,2024-06-02,12:00:00,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02 12:00:00
MOBEAST013,MOBEAST_T11_C_2024-06-02_1200,T11,Control,2024-06-02,12:00:00,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02 12:00:00
MOBEAST014,MOBEAST_T12_R_2024-06-02_1200,T12,CCA,2024-06-02,12:00:00,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02 12:00:00
MOBEAST015,MOBEAST_T13_A_2024-06-02_1200,T13,Algae,2024-06-02,12:00:00,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02 12:00:00
MOBEAST016,MOBEAST_T14_A_2024-06-02_1200,T14,Algae,2024-06-02,12:00:00,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02 12:00:00
MOBEAST017,MOBEAST_T15_C_2024-06-02_1200,T15,Control,2024-06-02,12:00:00,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02 12:00:00
MOBEAST018,MOBEAST_T16_K_2024-06-02_1200,T16,Coral,2024-06-02,12:00:00,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02 12:00:00
MOBEAST019,MOBEAST_F1_Inflow_2024-06-02_1800,F1,Inflow,2024-06-02,18:00:00,Table 1,2024-06-02T18:00:00Z,2024-06-02,18:00:00,2024-06-02 18:00:00
MOBEAST020,MOBEAST_F2_Inflow_2024-06-02_1800,F2,Inflow,2024-06-02,18:00:00,Table 2,2024-06-02T18:00:00Z,2024-06-02,18:00:00,2024-06-02 18:00:00
MOBEAST021,MOBEAST_T1_A_2024-06-02_1800,T1,Algae,2024-06-02,18:00:00,Table 1,2024-06-02T18:00:00Z,2024-06-02,18:00:00,2024-06-02 18:00:00
MOBEAST022,MOBEAST_T2_R_2024-06-02_1800,T2,CCA,2024-06-02,18:00:00,Table 2,2024-06-02T18:00:00Z,2024-06-02,18:00:00,2024-06-02 18:00:00
MOBEAST023,MOBEAST_T3_C_2024-06-02_1800,T3,Control,2024-06-02,18:00:00,Table 2,2024-06-02T18:00:00Z,2024-06-02,18:00:00,2024-06-02 18:00:00
MOBEAST024,MOBEAST_T4_A_2024-06-02_1800,T4,Algae,2024-06-02,18:00:00,Table 2,2024-06-02T18:00:00Z,2024-06-02,18:00:00,2024-06-02 18:00:00
MOBEAST025,MOBEAST_T5_R_2024-06-02_1800,T5,CCA,2024-06-02,18:00:00,Table 2,2024-06-02T18:00:00Z,2024-06-02,18:00:00,2024-06-02 18:00:00
MOBEAST026,MOBEAST_T6_K_2024-06-02_1800,T6,Coral,2024-06-02,18:00:00,Table 2,2024-06-02T18:00:00Z,2024-06-02,18:00:00,2024-06-02 18:00:00
MOBEAST027,MOBEAST_T7_K_2024-06-02_1800,T7,Coral,2024-06-02,18:00:00,Table 2,2024-06-02T18:00:00Z,2024-06-02,18:00:00,2024-06-02 18:00:00
MOBEAST028,MOBEAST_T8_C_2024-06-02_1800,T8,Control,2024-06-02,18:00:00,Table 1,2024-06-02T18:00:00Z,2024-06-02,18:00:00,2024-06-02 18:00:00
MOBEAST029,MOBEAST_T9_K_2024-06-02_1800,T9,Coral,2024-06-02,18:00:00,Table 1,2024-06-02T18:00:00Z,2024-06-02,18:00:00,2024-06-02 18:00:00
MOBEAST030,MOBEAST_T10_R_2024-06-02_1800,T10,CCA,2024-06-02,18:00:00,Table 1,2024-06-02T18:00:00Z,2024-06-02,18:00:00,2024-06-02 18:00:00
MOBEAST031,MOBEAST_T11_C_2024-06-02_1800,T11,Control,2024-06-02,18:00:00,Table 1,2024-06-02T18:00:00Z,2024-06-02,18:00:00,2024-06-02 18:00:00
MOBEAST032,MOBEAST_T12_R_2024-06-02_1800,T12,CCA,2024-06-02,18:00:00,Table 1,2024-06-02T18:00:00Z,2024-06-02,18:00:00,2024-06-02 18:00:00
MOBEAST033,MOBEAST_T13_A_2024-06-02_1800,T13,Algae,2024-06-02,18:00:00,Table 1,2024-06-02T18:00:00Z,2024-06-02,18:00:00,2024-06-02 18:00:00
MOBEAST034,MOBEAST_T14_A_2024-06-02_1800,T14,Algae,2024-06-02,18:00:00,Table 1,2024-06-02T18:00:00Z,2024-06-02,18:00:00,2024-06-02 18:00:00
MOBEAST035,MOBEAST_T15_C_2024-06-02_1800,T15,Control,2024-06-02,18:00:00,Table 1,2024-06-02T18:00:00Z,2024-06-02,18:00:00,2024-06-02 18:00:00
MOBEAST036,MOBEAST_T16_K_2024-06-02_1800,T16,Coral,2024-06-02,18:00:00,Table 1,2024-06-02T18:00:00Z,2024-06-02,18:00:00,2024-06-02 18:00:00
MOBEAST037,MOBEAST_F1_Inflow_2024-06-03_0000,F1,Inflow,2024-06-03,00:00:00,Table 1,2024-06-03T00:00:00Z,2024-06-03,00:00:00,2024-06-03 00:00:00
MOBEAST038,MOBEAST_F2_Inflow_2024-06-03_0000,F2,Inflow,2024-06-03,00:00:00,Table 2,2024-06-03T00:00:00Z,2024-06-03,00:00:00,2024-06-03 00:00:00
MOBEAST039,MOBEAST_T1_A_2024-06-03_0000,T1,Algae,2024-06-03,00:00:00,Table 1,2024-06-03T00:00:00Z,2024-06-03,00:00:00,2024-06-03 00:00:00
MOBEAST040,MOBEAST_T2_R_2024-06-03_0000,T2,CCA,2024-06-03,00:00:00,Table 2,2024-06-03T00:00:00Z,2024-06-03,00:00:00,2024-06-03 00:00:00
MOBEAST041,MOBEAST_T3_C_2024-06-03_0000,T3,Control,2024-06-03,00:00:00,Table 2,2024-06-03T00:00:00Z,2024-06-03,00:00:00,2024-06-03 00:00:00
MOBEAST042,MOBEAST_T4_A_2024-06-03_0000,T4,Algae,2024-06-03,00:00:00,Table 2,2024-06-03T00:00:00Z,2024-06-03,00:00:00,2024-06-03 00:00:00
MOBEAST043,MOBEAST_T5_R_2024-06-03_0000,T5,CCA,2024-06-03,00:00:00,Table 2,2024-06-03T00:00:00Z,2024-06-03,00:00:00,2024-06-03 00:00:00
MOBEAST044,MOBEAST_T6_K_2024-06-03_0000,T6,Coral,2024-06-03,00:00:00,Table 2,2024-06-03T00:00:00Z,2024-06-03,00:00:00,2024-06-03 00:00:00
MOBEAST045,MOBEAST_T7_K_2024-06-03_0000,T7,Coral,2024-06-03,00:00:00,Table 2,2024-06-03T00:00:00Z,2024-06-03,00:00:00,2024-06-03 00:00:00
MOBEAST046,MOBEAST_T8_C_2024-06-03_0000,T8,Control,2024-06-03,00:00:00,Table 1,2024-06-03T00:00:00Z,2024-06-03,00:00:00,2024-06-03 00:00:00
MOBEAST047,MOBEAST_T9_K_2024-06-03_0000,T9,Coral,2024-06-03,00:00:00,Table 1,2024-06-03T00:00:00Z,2024-06-03,00:00:00,2024-06-03 00:00:00
MOBEAST048,MOBEAST_T10_R_2024-06-03_0000,T10,CCA,2024-06-03,00:00:00,Table 1,2024-06-03T00:00:00Z,2024-06-03,00:00:00,2024-06-03 00:00:00
MOBEAST049,MOBEAST_T11_C_2024-06-03_0000,T11,Control,2024-06-03,00:00:00,Table 1,2024-06-03T00:00:00Z,2024-06-03,00:00:00,2024-06-03 00:00:00
MOBEAST050,MOBEAST_T12_R_2024-06-03_0000,T12,CCA,2024-06-03,00:00:00,Table 1,2024-06-03T00:00:00Z,2024-06-03,00:00:00,2024-06-03 00:00:00
MOBEAST051,MOBEAST_T13_A_2024-06-03_0000,T13,Algae,2024-06-03,00:00:00,Table 1,2024-06-03T00:00:00Z,2024-06-03,00:00:00,2024-06-03 00:00:00
MOBEAST052,MOBEAST_T14_A_2024-06-03_0000,T14,Algae,2024-06-03,00:00:00,Table 1,2024-06-03T00:00:00Z,2024-06-03,00:00:00,2024-06-03 00:00:00
MOBEAST053,MOBEAST_T15_C_2024-06-03_0000,T15,Control,2024-06-03,00:00:00,Table 1,2024-06-03T00:00:00Z,2024-06-03,00:00:00,2024-06-03 00:00:00
MOBEAST054,MOBEAST_T16_K_2024-06-03_0000,T16,Coral,2024-06-03,00:00:00,Table 1,2024-06-03T00:00:00Z,2024-06-03,00:00:00,2024-06-03 00:00:00
MOBEAST055,MOBEAST_F1_Inflow_2024-06-03_0600,F1,Inflow,2024-06-03,06:00:00,Table 1,2024-06-03T06:00:00Z,2024-06-03,06:00:00,2024-06-03 06:00:00
MOBEAST056,MOBEAST_F2_Inflow_2024-06-03_0600,F2,Inflow,2024-06-03,06:00:00,Table 2,2024-06-03T06:00:00Z,2024-06-03,06:00:00,2024-06-03 06:00:00
MOBEAST057,MOBEAST_T1_A_2024-06-03_0600,T1,Algae,2024-06-03,06:00:00,Table 1,2024-06-03T06:00:00Z,2024-06-03,06:00:00,2024-06-03 06:00:00
